Class Session Code,Subject Area,Course Catalog Number,Class Number,Course Component Short Description,Class Start Date,End Date,Instruction Mode Description,Facility ID,Start Time,End Time,Derived Meeting Pattern,Instructor Name,Instructor Role Description
1,AHLT-M,190,35281,Lecture,1/12/2026,5/8/2026,In Person, , , , ,"Townsend,Carolyn Sutton",Primary Instructor
1,AHLT-R,182,26692,Clinic,1/12/2026,5/8/2026,In Person,KOOCOC,8:00:00 AM,3:30:00 PM,TR,"Evelo,Anna Christine",Primary Instructor
1,AHLT-R,200,26743,Lecture,1/12/2026,5/8/2026,In Person,HUNT101,2:30:00 PM,4:15:00 PM,T,"Hill,Shaton Doloris",Primary Instructor
1,AHLT-R,201,26693,Lecture,1/12/2026,5/8/2026,In Person,HUNT101,8:30:00 AM,11:00:00 AM,W,"Sebastian,Heidi Michelle",Primary Instructor
1,AHLT-R,201,27446,Laboratory,1/12/2026,5/8/2026,In Person,HUNT101,11:30:00 AM,1:30:00 PM,W,"Johnston,Amanda Lynn",Primary Instructor
1,AHLT-R,201,27447,Laboratory,1/12/2026,5/8/2026,In Person,HUNT101,1:45:00 PM,3:45:00 PM,W,"Johnston,Amanda Lynn",Primary Instructor
1,AHLT-R,202,26694,Lecture,1/12/2026,5/8/2026,In Person,HUNT101,8:30:00 AM,11:00:00 AM,M,"Evelo,Anna Christine",Primary Instructor
1,AHLT-R,207,26740,Lecture,1/12/2026,5/8/2026,In Person,HUNT101,11:30:00 AM,2:00:00 PM,T,"Sebastian,Heidi Michelle",Primary Instructor
1,AHLT-R,208,26695,Lecture,1/12/2026,5/8/2026,In Person,HUNT101,12:00:00 PM,2:00:00 PM,M,"Evelo,Anna Christine",Primary Instructor
1,AHLT-R,260,26744,Lecture,1/12/2026,5/8/2026,In Person,HUNT101,8:00:00 AM,10:30:00 AM,T,"Sebastian,Heidi Michelle",Primary Instructor
1,AHLT-R,290,26751,Clinic,1/12/2026,5/8/2026,In Person,KOOCOC,8:00:00 AM,3:30:00 PM,MWF,"Johnston,Amanda Lynn",Primary Instructor
1,AHLT-R,483,26749,Clinic,1/12/2026,5/8/2026,In Person, , , , ,"Sebastian,Heidi Michelle",Primary Instructor
1,ANAT-A,215,26696,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,1:00:00 PM,2:15:00 PM,TR,"Rifai,Lina",Primary Instructor
1,ANAT-A,215,26696,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,1:00:00 PM,2:15:00 PM,TR,"Houston,Nicole Christina",Secondary Instructor
1,ANAT-A,215,26696,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,1:00:00 PM,2:15:00 PM,TR,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,26697,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,26697,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,26697,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,26698,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,26698,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,26698,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27059,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,5:30:00 PM,6:45:00 PM,TR,"Wysong,Brandon Carter",Primary Instructor
1,ANAT-A,215,27059,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,5:30:00 PM,6:45:00 PM,TR,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27059,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,5:30:00 PM,6:45:00 PM,TR,"Houston,Nicole Christina",Secondary Instructor
1,ANAT-A,215,27060,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27060,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27060,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27061,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27061,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27061,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27201,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27201,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27201,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27202,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,F,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27202,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,F,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27202,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,F,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27203,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27203,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27203,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27204,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,F,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27204,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,F,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27204,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,F,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27205,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,1:00:00 PM,2:15:00 PM,WF,"Wysong,Brandon Carter",Primary Instructor
1,ANAT-A,215,27205,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,1:00:00 PM,2:15:00 PM,WF,"Houston,Nicole Christina",Secondary Instructor
1,ANAT-A,215,27205,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,1:00:00 PM,2:15:00 PM,WF,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27206,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27206,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27206,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,T,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27207,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27207,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27207,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,T,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27208,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Houston,Nicole Christina",Primary Instructor
1,ANAT-A,215,27208,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Wysong,Brandon Carter",Secondary Instructor
1,ANAT-A,215,27208,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,10:00:00 AM,12:30:00 PM,F,"Rifai,Lina",Secondary Instructor
1,ANAT-A,215,27209,Laboratory,1/12/2026,5/8/2026,In Person,HUNT129,2:30:00 PM,5:00:00 PM,F,"Houston,Nicole Christina",Primary Instructor
